SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
1,46,2230982,2231099,2238568,2195758,2064659,2018335,2016231,2056693,2170380,2131223,2015066
1,47,2238248,2238371,2237752,2231572,2189757,2058787,2013213,2011534,2051606,2164250,2125627
1,48,2237734,2237859,2235091,2229442,2224095,2182319,2052376,2007604,2005602,2044963,2157491
1,49,2264671,2264793,2262232,2225712,2220810,2215408,2174363,2045463,2000754,1998310,2037762
1,50,2300354,2300471,2290656,2251649,2216015,2210678,2205872,2165544,2036876,1992020,1989936
1,51,2190766,2190860,2209609,2278980,2240246,2204455,2199644,2195423,2155255,2027025,1982590
1,52,2207246,2207331,2196979,2197076,2266381,2227525,2192495,2188213,2183985,2143940,2016677
1,53,2141354,2141451,2170772,2183189,2183683,2252624,2214176,2179737,2175310,2170769,2131415
1,54,2093554,2093639,2091480,2155935,2168911,2169210,2237870,2199599,2165344,2160713,2156589
1,55,2073473,2073546,2075036,2075876,2140389,2153054,2153432,2221954,2183614,2149254,2145020
1,56,1956141,1956202,1984306,2058668,2059532,2123185,2135769,2136505,2204850,2166333,2132558
1,57,1905355,1905398,1909865,1967418,2041319,2041913,2104858,2117662,2118381,2186051,2148167
1,58,1834808,1834863,1838559,1892244,1949778,2022544,2022937,2085597,2098260,2098626,2165907
1,59,1753871,1753929,1779382,1820415,1874009,1930382,2002641,2002834,2064932,2076940,2077675
1,60,1745507,1745559,1742122,1760762,1801554,1854196,1909900,1981423,1981382,2042360,2054540
1,61,1679077,1679114,1691320,1723174,1741295,1781209,1832858,1887794,1958678,1958114,2018812
1,62,1712692,1712746,1678985,1671569,1703085,1720137,1759258,1810263,1864672,1934180,1933853
1,63,1672329,1672362,1753823,1657534,1650723,1680940,1697523,1735951,1786325,1839800,1908640
1,64,1267895,1267924,1291793,1730300,1635318,1627607,1657978,1673658,1711138,1760630,1813691
1,65,1273310,1273339,1272621,1272793,1705773,1611115,1603988,1633701,1648673,1684992,1734093
1,66,1248276,1248309,1239751,1252746,1253089,1679066,1586232,1578771,1608149,1622470,1658451
1,67,1248906,1248938,1270098,1218496,1231659,1231738,1651225,1559379,1552195,1580939,1595396
1,68,1087296,1087339,1105672,1246288,1195906,1209022,1209280,1621545,1531196,1523933,1552348
1,69,994759,994797,1006753,1083202,1221406,1171820,1185270,1185337,1590002,1501234,1494525
1,70,945611,945642,954041,984544,1060065,1194739,1146943,1160063,1160428,1556705,1469752
1,71,900148,900187,903220,931237,961716,1034974,1167821,1120566,1134475,1134416,1522210
1,72,853726,853749,862506,879663,907695,936886,1009446,1138608,1093524,1107104,1106964
1,73,787863,787903,794626,837848,855287,882090,911650,981728,1108568,1064688,1078210
1,74,756624,756661,758812,769721,812451,828872,856115,884319,953290,1076512,1034136
1,75,721008,721040,725646,732756,744173,784977,802083,828018,856260,922912,1042460
1,76,647804,647847,653546,698281,706048,716553,757206,773254,799299,826485,890943
1,77,631884,631915,630851,626376,670314,677294,688704,727331,743766,768829,795142
1,78,602458,602490,602780,602127,598654,640230,648218,658622,696684,712433,736686
1,79,579234,579284,573882,572489,572895,568944,609889,616955,627911,664209,679443
1,80,543559,543595,549223,542052,541689,541617,539014,577353,585150,595525,630172
1,81,494870,494914,496069,515531,509737,508906,510281,507126,544430,551854,561875
1,82,462983,463020,462808,462341,481577,475562,476217,476964,474935,509900,517114
1,83,419831,419882,423007,427912,428512,445788,441560,441480,443433,441402,474179
1,84,373131,373169,375690,387570,393108,393067,410436,405734,406835,408807,407026
1,85,336819,336856,337664,340687,352591,357018,358403,373541,370342,371378,373553
1,86,293120,293149,295388,302823,306571,316753,322082,322633,337507,334595,335767
1,87,249803,249840,253628,261663,269346,272060,282503,286518,288152,301537,299120
1,88,217436,217472,216222,221743,229739,235944,239587,248104,252708,254213,266294
1,89,176689,176731,180466,186092,192051,198357,205009,207440,215899,219957,221521
1,90,136948,136985,141391,152989,158533,163349,169753,174869,177824,185143,188838
1,91,103799,103826,104287,117712,128314,132372,137627,142373,147570,150051,156443
1,92,81072,81101,83457,85334,96846,105351,109402,113480,118076,122436,124601
1,93,59037,59063,60180,66888,69033,77821,85608,88290,92464,96180,99922
1,94,43531,43541,43824,47153,52954,54516,61813,67846,70332,73836,76838
1,95,30951,30967,31736,33599,36489,40837,42617,47736,53099,54872,57897
1,96,21424,21432,22022,23796,25436,27439,31144,32422,36318,40608,41849
1,97,14556,14563,14774,16108,17618,18681,20388,23045,24377,26978,30486
1,98,9259,9263,9501,10555,11645,12646,13560,14663,16824,17985,19597
1,99,6073,6075,6106,6604,7460,8150,8982,9516,10391,11958,12985
1,100,9162,9166,9353,10144,11150,12273,13703,15059,16493,17943,19982
1,999,151781326,151788777,152077018,153211825,154396283,155514347,156697642,157910775,159088102,160125630,161128679
2,0,1929877,1929882,1932956,1934662,1918827,1921534,1930276,1946322,1933499,1902096,1879703
2,1,1947217,1947229,1937495,1940953,1942336,1926976,1930379,1939483,1956073,1942767,1911513
2,2,2004731,2004737,2002076,1944263,1947591,1949477,1934958,1938875,1948378,1964497,1951366
2,3,2014490,2014496,2010539,2007855,1949981,1953938,1956681,1942740,1946953,1955978,1972327
2,4,1985620,1985630,1993132,2015652,2012989,1955714,1960507,1963887,1950233,1953885,1963164
2,5,1984764,1984770,1988040,1998032,2020419,2018270,1961785,1967303,1970911,1956677,1960607
2,6,1991062,1991082,1993539,1993058,2002787,2025458,2024017,1968139,1973863,1976962,1963030
2,7,1973503,1973512,1979890,1998703,1998091,2008055,2031241,2030190,1974558,1979770,1983207
2,8,1981033,1981038,1971116,1985025,2003850,2003698,2014022,2037337,2036571,1980392,1986003
2,9,2028657,2028667,2018346,1976337,1990300,2009485,2009703,2020221,2043787,2042514,1986805
2,10,2036545,2036552,2044855,2023708,1981759,1995730,2015531,2016099,2026910,2049961,2049181
2,11,2011151,2011159,2010660,2050356,2029359,1987223,2001637,2021614,2022390,2032680,2056222
2,12,2006098,2006105,2009615,2016293,2056068,2034887,1992953,2007664,2027834,2028131,2038862
2,13,2013099,2013123,2014655,2015222,2021706,2061554,2040860,1999450,2014473,2034216,2034962
2,14,2030439,2030463,2022629,2020537,2020836,2027539,2067968,2047794,2006763,2021292,2041460
2,15,2065798,2065842,2060512,2029279,2026800,2027376,2034955,2076055,2056199,2014595,2029592
