pop,age,lx
DC,80,51382
DC,81,49327
DC,82,47141
DC,83,44828
DC,84,42394
DC,85,39849
DC,86,37207
DC,87,34485
DC,88,31705
DC,89,28891
DC,90,26072
DC,91,23281
DC,92,20548
DC,93,17910
DC,94,15399
DC,95,13045
DC,96,10876
DC,97,8914
DC,98,7172
DC,99,5659
DC,100,4372
DE,0,100000
DE,1,99275
DE,2,99219
DE,3,99164
DE,4,99137
DE,5,99119
DE,6,99110
DE,7,99085
DE,8,99068
DE,9,99068
DE,10,99051
DE,11,99051
DE,12,99051
DE,13,99051
DE,14,99027
DE,15,98996
DE,16,98972
DE,17,98925
DE,18,98861
DE,19,98774
DE,20,98692
DE,21,98565
DE,22,98431
DE,23,98314
DE,24,98187
DE,25,98070
DE,26,97909
DE,27,97792
DE,28,97590
DE,29,97440
DE,30,97250
DE,31,97087
DE,32,96868
DE,33,96707
DE,34,96447
DE,35,96215
DE,36,96038
DE,37,95822
DE,38,95603
DE,39,95253
DE,40,94958
DE,41,94555
DE,42,94301
DE,43,93945
DE,44,93678
DE,45,93313
DE,46,92976
DE,47,92533
DE,48,92051
DE,49,91693
DE,50,91239
DE,51,90729
DE,52,90221
DE,53,89702
DE,54,89093
DE,55,88452
DE,56,87744
DE,57,86987
DE,58,86248
DE,59,85599
DE,60,84846
DE,61,84040
DE,62,83263
DE,63,82291
DE,64,81164
DE,65,80078
DE,66,78994
DE,67,77819
DE,68,76688
DE,69,75432
DE,70,74093
DE,71,72505
DE,72,71052
DE,73,69414
DE,74,67707
DE,75,65812
DE,76,63755
DE,77,61895
DE,78,59498
DE,79,56932
DE,80,54337
DE,81,51502
DE,82,48320
DE,83,45303
DE,84,42113
DE,85,38593
DE,86,35014
DE,87,31779
DE,88,28124
DE,89,24611
DE,90,21546
DE,91,18363
DE,92,15364
DE,93,12608
DE,94,10131
DE,95,7958
DE,96,6101
DE,97,4558
DE,98,3312
DE,99,2338
DE,100,1601
FL,0,100000
FL,1,99392
FL,2,99346
FL,3,99317
FL,4,99290
FL,5,99274
FL,6,99256
FL,7,99243
FL,8,99233
FL,9,99224
FL,10,99213
FL,11,99200
FL,12,99185
FL,13,99169
FL,14,99152
FL,15,99131
FL,16,99102
FL,17,99070
FL,18,99013
FL,19,98930
FL,20,98845
FL,21,98754
FL,22,98656
FL,23,98550
FL,24,98443
FL,25,98325
FL,26,98202
FL,27,98050
FL,28,97900
FL,29,97749
FL,30,97592
FL,31,97427
FL,32,97253
FL,33,97069
FL,34,96880
FL,35,96669
FL,36,96470
FL,37,96254
FL,38,96028
FL,39,95792
FL,40,95554
FL,41,95301
FL,42,95033
FL,43,94745
FL,44,94482
FL,45,94189
FL,46,93884
FL,47,93575
FL,48,93223
FL,49,92880
FL,50,92510
FL,51,92123
FL,52,91693
FL,53,91223
FL,54,90730
FL,55,90201
FL,56,89631
FL,57,89022
FL,58,88349
FL,59,87633
FL,60,86849
FL,61,86059
FL,62,85161
FL,63,84210
FL,64,83208
FL,65,82158
FL,66,81045
FL,67,79907
FL,68,78744
FL,69,77509
FL,70,76219
FL,71,74875
FL,72,73447
FL,73,71939
FL,74,70355
FL,75,68637
FL,76,66761
FL,77,64904
FL,78,62867
FL,79,60662
FL,80,58320
FL,81,55860
FL,82,53307
FL,83,50504
FL,84,47617
