state,Age,Q0,Q75
CA,39,0.03261000000000003,NA
CA,40,0.03451000000000004,NA
CA,75,0.28144,0
CA,76,0.30086,0.02702627477176578
CA,77,0.31955999999999996,0.05305054553551547
CA,78,0.34092999999999996,0.08279058116232463
CA,79,0.364,0.11489645958583838
CA,80,0.38897000000000004,0.14964651525272765
CA,81,0.41562,0.18673458027165446
CA,82,0.44377,0.2259101536406145
CA,83,0.47343999999999997,0.2672010688042752
CA,84,0.50517,0.3113588287686484
CA,85,0.53833,0.35750668002672015
CA,86,0.57344,0.4063682921398353
CA,87,0.60956,0.4566354932086395
CA,88,0.64666,0.5082665330661322
CA,89,0.68387,0.5600506568692941
CA,90,0.72178,0.6128089512358049
CA,91,0.75879,0.6643147405922958
CA,92,0.7946,0.7141505232687597
CA,93,0.8288800000000001,0.7618570474281897
CA,94,0.85973,0.80479013582721
CA,95,0.88795,0.844063126252505
CA,96,0.9121,0.8776720106880428
CA,97,0.9327799999999999,0.9064517924738366
CA,98,0.94998,0.9303885548875529
CA,99,0.96385,0.9496910487641951
CA,100,0.97466,0.964735025606769
CO,0,0,NA
CO,1,0.0045800000000000285,NA
CO,2,0.00490999999999997,NA
CO,3,0.0051600000000000534,NA
CO,4,0.005319999999999991,NA
CO,5,0.00544,NA
CO,6,0.005619999999999958,NA
CO,7,0.005820000000000047,NA
CO,8,0.005920000000000036,NA
CO,9,0.00605,NA
CO,10,0.006079999999999974,NA
CO,11,0.006240000000000023,NA
CO,12,0.006410000000000027,NA
CO,13,0.006630000000000025,NA
CO,14,0.006889999999999952,NA
CO,15,0.007199999999999984,NA
CO,16,0.007580000000000031,NA
CO,17,0.00817000000000001,NA
CO,18,0.008809999999999985,NA
CO,19,0.009589999999999987,NA
CO,20,0.010820000000000052,NA
CO,21,0.011769999999999947,NA
CO,22,0.013000000000000012,NA
CO,23,0.01419999999999999,NA
CO,24,0.015430000000000055,NA
CO,25,0.016569999999999974,NA
CO,26,0.017780000000000018,NA
CO,27,0.01915,NA
CO,28,0.020580000000000043,NA
CO,29,0.02207999999999999,NA
CO,30,0.02361000000000002,NA
CO,31,0.02507999999999999,NA
CO,32,0.026699999999999946,NA
CO,33,0.028469999999999995,NA
CO,34,0.030370000000000008,NA
CO,35,0.03242999999999996,NA
CO,36,0.03425999999999996,NA
CO,37,0.03639000000000003,NA
CO,38,0.038429999999999964,NA
CO,39,0.04052,NA
CO,40,0.04257,NA
CO,75,0.29107000000000005,0
CO,76,0.3104,0.027266443795579298
CO,77,0.32959000000000005,0.05433540688079219
CO,78,0.35207999999999995,0.08605927242463995
CO,79,0.37544,0.11901033952576423
CO,80,0.40179,0.15617903036971215
CO,81,0.42918,0.1948147207763813
CO,82,0.45894,0.23679347749425195
CO,83,0.49163999999999997,0.2829193291298153
CO,84,0.5251,0.33011721890736745
CO,85,0.56165,0.38167379007800484
CO,86,0.59764,0.43244043840717705
CO,87,0.6357900000000001,0.48625393198200106
CO,88,0.67456,0.5409419829884474
CO,89,0.71353,0.595912149295417
CO,90,0.75271,0.6511785366679361
CO,91,0.79039,0.7043290592865303
CO,92,0.82412,0.751907804719789
CO,93,0.85588,0.7967077144428928
CO,94,0.88542,0.8383761443301878
CO,95,0.91131,0.8748959699829321
CO,96,0.93276,0.9051528359640585
CO,97,0.95046,0.9301200400603726
CO,98,0.9646,0.9500655918073717
CO,99,0.9755,0.9654408756858929
CO,100,0.9836,0.9768665453570874
CT,0,0,NA
CT,1,0.004349999999999965,NA
CT,2,0.004610000000000003,NA
CT,3,0.0047399999999999665,NA
CT,4,0.0048200000000000465,NA
CT,5,0.005009999999999959,NA
CT,6,0.005220000000000002,NA
CT,7,0.005269999999999997,NA
CT,8,0.005449999999999955,NA
CT,9,0.005569999999999964,NA
