Austria, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        Exposure
1960     51        56432.15
1960     52        55802.86
1960     53        55987.69
1960     54        55004.55
1960     55        54164.22
1961     12        51124.47
1961     13        52585.27
1961     14        52508.04
1961     15        39594.35
1961     16        47265.47
1961     17        53318.21
1961     18        51807.71
1961     19        57180.53
1961     20        61694.86
1961     21        65871.77
1961     22        52614.98
1961     23        39705.86
1961     24        38155.08
1961     25        38331.99
1961     26        38716.87
1961     27        39648.85
1961     28        41497.79
1961     29        42624.50
1961     30        44619.34
1961     31        45549.89
1961     32        45724.58
1961     33        46076.97
1961     34        48340.68
1961     35        51881.10
1961     36        54912.36
1961     37        56716.79
1961     38        58042.50
1961     39        58151.43
1961     40        57493.77
1961     41        53152.20
1961     42        36589.95
1961     43        28966.80
1961     44        31288.75
1961     45        34495.93
1961     46        48502.84
1961     47        54079.97
1961     48        55298.25
1961     49        55237.83
1961     50        55576.63
1961     51        56856.85
1961     52        56117.84
1961     53        55476.53
1961     54        55629.86
1961     55        54621.70
1962     12        47830.66
1962     13        51189.48
1962     14        52601.89
1962     15        52454.29
1962     16        39482.40
1962     17        47071.88
1962     18        53033.35
1962     19        51498.88
1962     20        56868.65
1962     21        61358.42
1962     22        65556.91
1962     23        52424.46
1962     24        39608.65
1962     25        38169.77
1962     26        38323.18
1962     27        38720.54
1962     28        39646.84
1962     29        41497.87
1962     30        42637.37
1962     31        44613.28
1962     32        45505.70
1962     33        45686.20
1962     34        46053.39
1962     35        48301.95
1962     36        51817.09
1962     37        54836.47
1962     38        56605.18
1962     39        57909.85
1962     40        58072.52
1962     41        57387.02
1962     42        53031.54
1962     43        36519.00
1962     44        28904.79
1962     45        31223.27
1962     46        34384.40
1962     47        48362.51
1962     48        53873.57
1962     49        55084.70
1962     50        55034.73
1962     51        55349.57
1962     52        56550.30
1962     53        55786.81
1962     54        55119.01
1962     55        55280.76
1963     12        47046.63
1963     13        47986.13
1963     14        51268.30
1963     15        52633.14
1963     16        52402.41
1963     17        39353.06
1963     18        46830.99
1963     19        52742.09
1963     20        51204.78
1963     21        56581.47
1963     22        61060.83
1963     23        65290.42
1963     24        52263.47
1963     25        39655.81
1963     26        38199.47
1963     27        38349.21
1963     28        38758.93
1963     29        39675.15
1963     30        41522.43
1963     31        42676.38
1963     32        44629.38
1963     33        45490.60
1963     34        45670.15
1963     35        46042.46
1963     36        48285.32
1963     37        51774.83
1963     38        54767.78
1963     39        56505.81
1963     40        57795.77
1963     41        57979.61
1963     42        57288.92
1963     43        52913.08
1963     44        36422.03
1963     45        28853.76
1963     46        31127.42
1963     47        34272.01
1963     48        48187.67
1963     49        53671.81
1963     50        54862.12
1963     51        54832.28
1963     52        55075.04
1963     53        56220.37
1963     54        55428.40
1963     55        54784.99
1964     12        46792.63
1964     13        47282.54
1964     14        48147.09
1964     15        51351.05
1964     16        52671.01
1964     17        52361.07
1964     18        39202.87
1964     19        46596.48
1964     20        52444.50
1964     21        50906.43
1964     22        56278.87
1964     23        60754.45
1964     24        64991.64
1964     25        52187.42
1964     26        39653.60
1964     27        38204.37
1964     28        38345.61
1964     29        38776.26
1964     30        39677.95
1964     31        41543.23
1964     32        42707.85
1964     33        44637.71
1964     34        45473.54
1964     35        45640.16
1964     36        46031.38
1964     37        48263.09
1964     38        51728.57
1964     39        54702.15
1964     40        56390.94
1964     41        57685.69
1964     42        57890.45
1964     43        57179.01
1964     44        52759.87
1964     45        36332.85
1964     46        28777.90
