"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Jul., 2010"	"2010/07"	2044	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2010"	"2010/08"	2124	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2010"	"2010/09"	2032	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2010"	"2010/10"	2113	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2010"	"2010/11"	1973	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2010"	"2010/12"	1953	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2011"	"2011/01"	1979	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2011"	"2011/02"	1911	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2011"	"2011/03"	2106	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2011"	"2011/04"	1976	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2011"	"2011/05"	2005	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2011"	"2011/06"	1973	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2011"	"2011/07"	1975	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2011"	"2011/08"	2090	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2011"	"2011/09"	1968	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2011"	"2011/10"	2104	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2011"	"2011/11"	1967	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2011"	"2011/12"	1931	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2012"	"2012/01"	1914	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2012"	"2012/02"	1932	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2012"	"2012/03"	1955	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2012"	"2012/04"	1996	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2012"	"2012/05"	2053	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2012"	"2012/06"	1931	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2012"	"2012/07"	1982	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2012"	"2012/08"	2013	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2012"	"2012/09"	1992	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2012"	"2012/10"	2020	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2012"	"2012/11"	1900	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2012"	"2012/12"	1941	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2013"	"2013/01"	1986	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2013"	"2013/02"	1818	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2013"	"2013/03"	1992	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2013"	"2013/04"	1910	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2013"	"2013/05"	2028	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2013"	"2013/06"	1966	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2013"	"2013/07"	1969	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2013"	"2013/08"	1973	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2013"	"2013/09"	1955	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2013"	"2013/10"	2044	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2013"	"2013/11"	1845	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2013"	"2013/12"	1954	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2014"	"2014/01"	1935	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2014"	"2014/02"	1805	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2014"	"2014/03"	1932	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2014"	"2014/04"	1966	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2014"	"2014/05"	2037	Not Applicable	Not Applicable
