month,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
7,2000,6,19280263,9747890,9532373,7738412,7376087,1251271,1382601,105702,99039,505427,522623,21981,19963,125097,132060,7909459,7960493,6024915,5929296,1191007,1315820,76214,75691,494641,511821,16738,15660,105944,112205,1838431,1571880,1713497,1446791,60264,66781,29488,23348,10786,10802,5243,4303,19153,19855
7,2000,7,20524234,10329041,10195193,8325797,8020946,1281123,1425202,103433,99976,484463,509329,19975,19100,114250,120640,8646698,8723947,6759150,6666450,1224207,1363357,76416,77053,474680,499253,15595,15159,96650,102675,1682343,1471246,1566647,1354496,56916,61845,27017,22923,9783,10076,4380,3941,17600,17965
7,2000,8,22650852,11293101,11357751,9226643,9079367,1367330,1541240,108493,109637,457694,486832,19231,18980,113710,121695,9805522,9994606,7842746,7823173,1316441,1485836,83248,87186,448963,477534,15500,15324,98624,105553,1487579,1363145,1383897,1256194,50889,55404,25245,22451,8731,9298,3731,3656,15086,16142
7,2000,9,22517991,11166435,11351556,9218865,9173161,1308390,1478838,99934,104168,415754,463285,16886,16341,106606,115763,9970146,10209283,8107805,8120603,1266443,1432258,79080,85297,408454,455432,14048,13543,94316,102150,1196289,1142273,1111060,1052558,41947,46580,20854,18871,7300,7853,2838,2798,12290,13613
7,2000,10,20219527,9953393,10266134,8317739,8394489,1090370,1256391,83422,87478,359909,417153,13238,13541,88715,97082,9054062,9366030,7484506,7564313,1057070,1219806,67950,73092,354320,410957,11145,11473,79071,86389,899331,900104,833233,830176,33300,36585,15472,14386,5589,6196,2093,2068,9644,10693
7,2000,11,17779447,8703385,9076062,7387374,7551829,864122,1010660,67598,70070,301819,352193,10735,10698,71737,80612,8026715,8366492,6758855,6894538,839683,982991,56725,59745,297736,347653,9209,9151,64507,72414,676670,709570,628519,657291,24439,27669,10873,10325,4083,4540,1526,1547,7230,8198
7,2000,12,13565937,6557328,7008609,5636907,5918130,604275,737000,46646,49346,211410,239572,7360,7555,50730,57006,6093924,6497778,5203837,5441509,588422,718560,40026,42655,208923,236600,6435,6548,46281,51906,463404,510831,433070,476621,15853,18440,6620,6691,2487,2972,925,1007,4449,5100
7,2000,13,10863129,5166923,5696206,4442683,4815543,480447,607574,34340,36845,166476,188668,5462,5794,37515,41782,4815298,5289038,4113240,4434775,468329,592538,29805,32087,164660,186452,4769,5053,34495,38133,351625,407168,329443,380768,12118,15036,4535,4758,1816,2216,693,741,3020,3649
7,2000,14,9523909,4398477,5125432,3837253,4383889,381909,517031,24097,28157,123215,158846,4040,4370,27963,33139,4128090,4791498,3582594,4070395,373258,505346,20930,24434,121970,157156,3582,3773,25756,30394,270387,333934,254659,313494,8651,11685,3167,3723,1245,1690,458,597,2207,2745
7,2000,15,8860028,3910134,4949894,3475864,4319832,297545,446138,17181,21405,95361,131346,2713,3392,21470,27781,3701659,4675156,3278664,4061136,291291,436917,14931,18500,94483,129994,2389,2963,19901,25646,208475,274738,197200,258696,6254,9221,2250,2905,878,1352,324,429,1569,2135
7,2000,16,7438619,3056882,4381737,2748935,3900101,210957,350296,11225,15619,69335,91789,1652,2245,14778,21687,2919183,4187359,2618319,3716752,207123,343852,9781,13679,68780,90913,1428,1964,13752,20199,137699,194378,130616,183349,3834,6444,1444,1940,555,876,224,281,1026,1488
7,2000,17,4984540,1853013,3131527,1682133,2818002,118268,234357,5836,9639,37617,53879,988,1381,8171,14269,1783581,3017438,1616431,2710505,116217,230374,5100,8608,37334,53385,835,1196,7664,13370,69432,114089,65702,107497,2051,3983,736,1031,283,494,153,185,507,899
7,2000,18,2806405,884531,1921874,802498,1738503,57097,142254,2783,5559,17642,26479,465,745,4046,8334,851174,1855925,770968,1676236,56142,140008,2437,4977,17466,26238,387,641,3774,7825,33357,65949,31530,62267,955,2246,346,582,176,241,78,104,272,509
7,2000,19,1118191,283565,834626,254016,757359,20742,62380,1014,2176,6242,9215,183,318,1368,3178,271136,807709,242253,731911,20432,61477,875,1977,6156,9097,153,261,1267,2986,12429,26917,11763,25448,310,903,139,199,86,118,30,57,101,192
7,2000,20,287595,57980,229615,49891,204379,5927,20846,296,660,1465,2751,54,105,347,874,54623,221865,46780,197074,5801,20576,256,600,1442,2721,45,90,299,804,3357,7750,3111,7305,126,270,40,60,23,30,9,15,48,70
7,2000,21,50281,9835,40446,7479,33682,1731,5546,126,191,289,709,43,49,167,269,8883,38741,6660,32153,1685,5465,104,163,272,698,36,40,126,222,952,1705,819,1529,46,81,22,28,17,11,7,9,41,47
7,2001,0,284968955,139891492,145077463,113534140,116515056,17249678,19013351,1386766,1382965,5404575,5777829,247992,239484,2068341,2148778,120806379,127018480,95977450,99997363,16526760,18253520,1047311,1072618,5277648,5648205,193807,189475,1783403,1857299,19085113,18058983,17556690,16517693,722918,759831,339455,310347,126927,129624,54185,50009,284938,291479
7,2001,1,19298217,9866776,9431441,7528936,7159582,1478416,1434473,120692,116315,376908,370319,22012,20931,339812,329821,7870054,7521152,5722028,5433232,1393457,1352364,86572,83622,360860,354806,15742,14839,291395,282289,1996722,1910289,1806908,1726350,84959,82109,34120,32693,16048,15513,6270,6092,48417,47532
7,2001,2,20173362,10329064,9844298,7884914,7474571,1632788,1583274,129103,125086,376651,363697,22578,21535,283030,276135,8440076,8036672,6173031,5838695,1549125,1502025,95062,92295,362190,349717,16509,15849,244159,238091,1888988,1807626,1711883,1635876,83663,81249,34041,32791,14461,13980,6069,5686,38871,38044
7,2001,3,20978678,10747209,10231469,8257400,7823863,1697688,1647778,140376,136401,383258,361466,22796,21662,245691,240299,9011865,8571373,6683727,6321616,1621717,1573992,106678,102996,370426,349082,17447,16583,211870,207104,1735344,1660096,1573673,1502247,75971,73786,33698,33405,12832,12384,5349,5079,33821,33195
7,2001,4,20456284,10547387,9908897,8213504,7658257,1561386,1508044,137462,128113,405200,386527,23162,21322,206673,206634,8799036,8369127,6614137,6258016,1493311,1443719,102230,97295,393492,375223,17918,16680,177948,178194,1748351,1539770,1599367,1400241,68075,64325,35232,30818,11708,11304,5244,4642,28725,28440
7,2001,5,19757286,10080336,9676950,7917075,7457107,1397807,1459131,122082,110592,454395,456023,26073,23350,162904,170747,8123368,8067026,6114885,5990134,1324757,1386594,85427,82605,441443,443669,19598,18427,137258,145597,1956968,1609924,1802190,1466973,73050,72537,36655,27987,12952,12354,6475,4923,25646,25150
7,2001,6,18819347,9516234,9303113,7517110,7151773,1218674,1350308,106973,99857,520478,541846,23154,20900,129845,138429,7626291,7684763,5763520,5669256,1155117,1280135,74034,73508,508814,530293,17345,16239,107461,115332,1889943,1618350,1753590,1482517,63557,70173,32939,26349,11664,11553,5809,4661,22384,23097
7,2001,7,20652175,10388245,10263930,8345158,8038604,1282174,1432929,105873,103202,511592,540093,20829,19901,122619,129201,8647927,8725849,6730217,6629341,1222627,1366940,76118,76693,500897,528979,16118,15602,101950,108294,1740318,1538081,1614941,1409263,59547,65989,29755,26509,10695,11114,4711,4299,20669,20907
7,2001,8,22235918,11094408,11141510,9013692,8850570,1360262,1530840,109738,110607,474089,504085,19777,19401,116850,126007,9548766,9724154,7580465,7549637,1306447,1472376,81939,84962,464736,494156,15757,15485,99422,107538,1545642,1417356,1433227,1300933,53815,58464,27799,25645,9353,9929,4020,3916,17428,18469
7,2001,9,22815834,11314915,11500919,9319382,9271415,1332991,1506204,103709,108353,428394,476053,17790,17210,112649,121684,10051410,10295078,8149002,8163385,1288688,1456890,80364,86866,420270,467484,14635,14168,98451,106285,1263505,1205841,1170380,1108030,44303,49314,23345,21487,8124,8569,3155,3042,14198,15399
7,2001,10,20698983,10193034,10505949,8490069,8561662,1128174,1296027,87461,91982,378454,437799,14005,14365,94871,104114,9236281,9550306,7606170,7682919,1092547,1256802,69786,75759,372327,430952,11748,12083,83703,91791,956753,955643,883899,878743,35627,39225,17675,16223,6127,6847,2257,2282,11168,12323
7,2001,11,18687285,9146153,9541132,7733209,7904934,928915,1083019,72584,75396,321954,379277,11439,11499,78052,87007,8418497,8782784,7059600,7205005,902242,1053054,60109,63467,317310,374145,9754,9795,69482,77318,727656,758348,673609,699929,26673,29965,12475,11929,4644,5132,1685,1704,8570,9689
7,2001,12,13968975,6759579,7209396,5797195,6070798,626389,760275,49146,51913,224911,257372,7926,8107,54012,60931,6264026,6663689,5335442,5563250,609246,740162,41524,44241,222144,254057,6882,7002,48788,54977,495553,545707,461753,507548,17143,20113,7622,7672,2767,3315,1044,1105,5224,5954
7,2001,13,11136320,5302150,5834170,4552816,4925433,491076,620047,36166,38591,176624,199838,5851,6126,39617,44135,4934859,5410823,4209520,4530252,478332,604417,31081,33343,174633,197461,5098,5317,36195,40033,367291,423347,343296,395181,12744,15630,5085,5248,1991,2377,753,809,3422,4102
7,2001,14,9562233,4427615,5134618,3843599,4370581,393522,529462,25423,29556,131509,166010,4191,4566,29371,34443,4146877,4787726,3579882,4045767,384211,516994,21956,25465,130123,164183,3725,3950,26980,31367,280738,346892,263717,324814,9311,12468,3467,4091,1386,1827,466,616,2391,3076
7,2001,15,8821946,3913438,4908508,3471372,4271149,299403,445954,17931,22031,99690,137413,2909,3510,22133,28451,3695855,4622675,3266019,4002513,292794,436257,15383,18848,98744,135962,2558,3035,20357,26060,217583,285833,205353,268636,6609,9697,2548,3183,946,1451,351,475,1776,2391
7,2001,16,7455413,3077254,4378159,2760736,3880551,215155,357794,11694,16152,72552,98617,1738,2416,15379,22629,2931190,4172167,2622322,3686588,211043,350989,10138,13984,71925,97597,1504,2121,14258,20888,146064,205992,138414,193963,4112,6805,1556,2168,627,1020,234,295,1121,1741
7,2001,17,5138205,1926631,3211574,1748294,2887089,121580,239689,6176,10142,40819,58344,1010,1419,8752,14891,1850462,3087948,1676313,2770786,119323,235353,5304,8925,40529,57823,848,1226,8145,13835,76169,123626,71981,116303,2257,4336,872,1217,290,521,162,193,607,1056
7,2001,18,2846666,907745,1938921,825967,1754522,55827,140297,2785,5580,18556,29071,485,792,4125,8659,873173,1871014,793332,1690485,54822,137986,2420,4975,18373,28799,401,680,3825,8089,34572,67907,32635,64037,1005,2311,365,605,183,272,84,112,300,570
7,2001,19,1132118,287793,844325,258366,765712,20064,62206,1023,2297,6720,10348,179,321,1441,3441,275052,815686,246343,738700,19718,61213,880,2058,6627,10228,149,267,1335,3220,12741,28639,12023,27012,346,993,143,239,93,120,30,54,106,221
7,2001,20,285256,56598,228658,48657,204084,5723,20065,266,620,1527,2924,54,104,371,861,53255,220641,45557,196505,5611,19809,222,560,1504,2891,43,89,318,787,3343,8017,3100,7579,112,256,44,60,23,33,11,15,53,74
