Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1994:Q2,ageunder40,10.4,14.5,20.2,28.7,8.6,11.2,12.2,9.7,39.5,39.3,46.5,9.4
1994:Q3,age70plus,22.1,19.4,18.8,13.8,20.5,13.4,16.2,30.3,3.2,2.8,2.5,11.8
1994:Q3,age55to69,32.7,30.5,26,23,36,34.2,31.4,31.5,16.7,16.7,11.9,40.4
1994:Q3,age40to54,34.7,35.7,34.9,34.7,35.4,41.2,40.5,28.7,41.4,42.3,39.2,38.5
1994:Q3,ageunder40,10.4,14.4,20.3,28.6,8.1,11.2,11.9,9.6,38.7,38.1,46.4,9.3
1994:Q4,age70plus,23,20.2,18.8,13.9,22.9,14.4,17.8,30.7,3.3,2.9,2.9,12.1
1994:Q4,age55to69,32.1,29.9,25.8,23,33.9,33.6,30.6,31.1,16.4,16.6,10.7,41.5
1994:Q4,age40to54,34.6,35.7,35,34.7,35.7,40.9,40.1,28.9,42.2,43.2,40.3,37.3
1994:Q4,ageunder40,10.3,14.2,20.4,28.4,7.5,11.1,11.5,9.3,38,37.3,46.2,9.2
1995:Q1,age70plus,23.2,20.3,18.9,13.6,23.7,14.5,18.3,30.4,3.2,3,2.4,11.2
1995:Q1,age55to69,32.1,29.9,25.8,23.1,33.8,33.5,30.9,31.1,16.6,16.7,11.4,41.2
1995:Q1,age40to54,34.7,35.7,35.1,34.7,35.7,40.7,39.8,29.3,42.2,43.3,39.8,38.3
1995:Q1,ageunder40,10.1,14,20.2,28.5,6.9,11.3,11,9.2,37.9,37.1,46.4,9.3
1995:Q2,age70plus,22.2,19.5,17.2,13.4,22.9,14.3,17.8,29.6,3,2.7,2.2,10.6
1995:Q2,age55to69,32.9,30.5,26.3,23.6,34.8,33.6,32,31.5,15.8,15.4,11.7,41.6
1995:Q2,age40to54,34.8,36.1,36.5,34.6,35.8,40.6,40.1,29.2,43.9,45.7,39.5,38.3
1995:Q2,ageunder40,10,13.9,20,28.4,6.5,11.4,10.1,9.8,37.3,36.1,46.6,9.5
1995:Q3,age70plus,21.2,18.6,16.2,13.1,21.4,14,16.8,28.1,2.9,2.7,2.2,10.9
1995:Q3,age55to69,34,31.3,26.7,23.9,36.6,34,33.6,32.5,15.5,14.9,11.7,42.7
1995:Q3,age40to54,35,36.4,37.5,34.5,35.9,40.5,40.7,29.2,44.9,47.4,39.2,36.9
1995:Q3,ageunder40,9.8,13.7,19.7,28.4,6.1,11.6,8.8,10.2,36.7,35.1,47,9.5
1995:Q4,age70plus,21.1,18.5,16.6,13.2,20.6,13.6,16.2,28.7,3,2.6,2.6,10.9
1995:Q4,age55to69,33.8,31.2,26.5,24,37.2,34,32.9,31.8,15.3,15,11.6,40
1995:Q4,age40to54,35.1,36.5,37.2,34.8,35.8,40.7,40.9,29.4,44.6,46.8,39.6,39.1
1995:Q4,ageunder40,9.9,13.8,19.8,28,6.5,11.6,10,10.1,37,35.7,46.2,10
1996:Q1,age70plus,20.9,18.4,17.1,13.2,19.8,13.3,15.3,28.7,3.1,2.6,2.5,13.2
1996:Q1,age55to69,33.8,31.3,26.3,24.1,37.5,34.1,32.6,31.9,15.9,15.4,12.3,41.1
1996:Q1,age40to54,35.3,36.5,36.9,35.1,35.9,41,41.3,29.4,43.7,45.6,39.5,36.9
1996:Q1,ageunder40,9.9,13.8,19.7,27.6,6.8,11.6,10.8,10,37.3,36.4,45.7,8.9
1996:Q2,age70plus,20.9,18.4,16.9,13.2,19.8,13.2,15.2,28.9,3.2,2.6,2.7,13.4
1996:Q2,age55to69,33.7,31.2,26.1,24.3,37.4,34.1,32.2,31.7,15.7,15.2,12.4,39
1996:Q2,age40to54,35.3,36.6,36.9,35.3,35.8,41,41.3,29.6,44.3,46.3,39.6,38.2
1996:Q2,ageunder40,10.1,13.9,20.1,27.2,7,11.6,11.3,9.8,36.8,35.9,45.3,9.3
1996:Q3,age70plus,21.1,18.5,17,13.3,20.3,13.2,15.4,29.2,3.3,2.7,2.9,13.7
1996:Q3,age55to69,33.5,31,26,24.4,36.6,34.1,31.7,31.5,15.7,15.3,12.4,37.3
1996:Q3,age40to54,35.2,36.5,36.8,35.6,35.9,41,41.1,29.3,44.5,46.6,39.8,39.5
1996:Q3,ageunder40,10.2,14,20.3,26.7,7.2,11.6,11.8,10,36.5,35.5,44.9,9.5
1996:Q4,age70plus,21,18.5,18,13.1,20.1,12.7,14.9,28.8,3.4,2.8,3,14.7
1996:Q4,age55to69,33.7,31.2,25.9,24.5,37,34.5,32,31.8,16.4,16.2,12.9,36.7
1996:Q4,age40to54,35.1,36.3,36.1,35.8,35.7,41,40.9,29.2,43.3,44.9,39.4,39.7
1996:Q4,ageunder40,10.2,14,20,26.5,7.2,11.9,12.1,10.2,36.9,36.1,44.7,8.9
1997:Q1,age70plus,21.2,18.7,18.4,13.1,20.6,12.7,15.1,28.9,3.5,2.9,2.8,15
1997:Q1,age55to69,33.4,31.1,26,24.7,36.3,34.5,31.6,31.8,16.9,16.7,13.5,35.5
1997:Q1,age40to54,35.2,36.3,35.9,36.1,35.8,40.9,40.8,29.3,42.9,44.4,39.3,40.1
